file_name,transcription,correct_transcription,wer
ElevenLabs_2025-03-07T11_27_01_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,小车后退,小车后退,0.0
ElevenLabs_2025-03-07T11_33_29_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,机械筆停止,机械臂停止,0.3333333333333333
ElevenLabs_2025-03-07T11_35_11_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2 (1).mp3,机械臂复位,机械臂复位,0.0
ElevenLabs_2025-03-07T11_33_04_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,机械比方下,机械臂放下,0.6666666666666666
ElevenLabs_2025-03-07T11_30_15_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,小车暫停,小车暂停,0.5
ElevenLabs_2025-03-07T11_35_11_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,机械臂复位,机械臂复位,0.0
ElevenLabs_2025-03-07T11_35_32_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,机械臂旋转到左側,机械臂旋转到左侧,0.2
ElevenLabs_2025-03-07T11_30_25_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,小车继续,小车继续,0.0
ElevenLabs_2025-03-07T11_33_51_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,机械筆夾具打開,机械臂夹具打开,0.75
ElevenLabs_2025-03-07T11_34_47_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,机械臂松开,机械臂松开,0.0
ElevenLabs_2025-03-07T11_27_15_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,小车左转,小车左转,0.0
ElevenLabs_2025-03-07T11_26_37_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,小車前進,小车前进,1.0
ElevenLabs_2025-03-07T11_34_09_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,机械筆夹具关闭,机械臂夹具关闭,0.25
ElevenLabs_2025-03-07T11_34_33_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,机械臂抓取,机械臂抓取,0.0
ElevenLabs_2025-03-07T11_27_45_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,小车右转,小车右转,0.0
ElevenLabs_2025-03-07T11_28_24_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,小车停止,小车停止,0.0
ElevenLabs_2025-03-07T11_32_35_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,机械比抬起,机械臂抬起,0.3333333333333333
ElevenLabs_2025-03-07T11_35_55_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,机械臂旋转到右侧,机械臂旋转到右侧,0.0
ElevenLabs_2025-03-07T11_29_10_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,小车加速,小车加速,0.0
ElevenLabs_2025-03-07T11_29_48_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,小车件数,小车减速,0.5
