file_name,transcription,response_time
ElevenLabs_2025-03-07T11_27_01_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,小车后退,3.444
ElevenLabs_2025-03-07T11_33_29_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,机械筆停止,3.478
ElevenLabs_2025-03-07T11_35_11_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2 (1).mp3,机械臂复位,1.738
ElevenLabs_2025-03-07T11_33_04_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,机械比方下,1.866
ElevenLabs_2025-03-07T11_30_15_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,小车暫停,1.307
ElevenLabs_2025-03-07T11_35_11_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,机械臂复位,1.333
ElevenLabs_2025-03-07T11_35_32_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,机械臂旋转到左側,2.181
ElevenLabs_2025-03-07T11_30_25_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,小车继续,2.056
ElevenLabs_2025-03-07T11_33_51_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,机械筆夾具打開,1.908
ElevenLabs_2025-03-07T11_34_47_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,机械臂松开,2.252
ElevenLabs_2025-03-07T11_27_15_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,小车左转,1.228
ElevenLabs_2025-03-07T11_26_37_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,小車前進,1.938
ElevenLabs_2025-03-07T11_34_09_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,机械筆夹具关闭,3.08
ElevenLabs_2025-03-07T11_34_33_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,机械臂抓取,1.485
ElevenLabs_2025-03-07T11_27_45_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,小车右转,3.42
ElevenLabs_2025-03-07T11_28_24_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,小车停止,1.441
ElevenLabs_2025-03-07T11_32_35_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,机械比抬起,2.985
ElevenLabs_2025-03-07T11_35_55_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,机械臂旋转到右侧,2.425
ElevenLabs_2025-03-07T11_29_10_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,小车加速,2.113
ElevenLabs_2025-03-07T11_29_48_Yu (Chinese) - Energetic and Engaging Voice with a Youthful Taiwanese Accent_pvc_s50_sb75_se0_b_m2.mp3,小车件数,1.081
